vx	vy	vz	score	numLines
-0.99398382	-0.10952524	-0.00061927	1675.16	184
-0.58885474	0.80822813	0.00417030	1129.17	173
-0.98010567	-0.19847638	-0.00000195	858.94	137

nLines	x1	y1	x2	y2	length
184
	442.60	4.12	462.92	6.65	20.48
	483.07	4.13	489.95	5.06	6.95
	499.94	7.22	523.83	10.22	24.08
	593.02	9.22	604.84	10.62	11.91
	507.02	20.14	513.23	20.63	6.23
	259.78	21.52	266.02	22.46	6.31
	308.02	34.58	327.98	37.88	20.23
	612.01	43.33	626.96	46.08	15.20
	442.99	50.49	451.01	51.93	8.15
	375.99	52.52	389.01	54.06	13.10
	411.01	54.78	425.03	55.50	14.04
	379.92	65.44	385.01	66.08	5.13
	565.91	69.11	587.04	71.86	21.31
	489.97	72.94	501.88	74.32	12.00
	373.69	74.68	379.00	75.35	5.34
	541.99	77.29	548.87	77.83	6.90
	537.90	80.35	543.09	80.57	5.19
	443.02	90.92	448.98	91.30	5.98
	617.88	91.09	626.04	92.17	8.23
	396.04	105.51	415.03	106.19	19.00
	515.99	98.07	525.99	99.08	10.05
	432.97	109.70	439.01	109.84	6.03
	158.93	109.83	149.18	109.71	9.75
	367.22	117.62	373.99	118.09	6.79
	509.00	113.95	523.00	114.03	13.99
	377.01	129.24	389.96	129.08	12.96
	363.02	129.35	368.82	129.44	5.79
	527.98	140.38	539.99	141.48	12.06
	550.00	154.10	556.04	154.38	6.05
	264.98	166.85	322.96	167.21	57.98
	577.00	165.83	582.08	165.77	5.09
	558.01	167.22	565.05	167.30	7.04
	279.02	172.49	307.98	171.58	28.97
	293.97	198.66	387.02	199.60	93.06
	246.06	180.03	252.00	180.01	5.94
	435.00	190.95	481.00	187.94	46.10
	490.99	187.57	512.04	188.73	21.07
	389.01	189.24	438.01	189.48	49.00
	289.00	190.00	308.99	191.08	20.02
	244.06	193.06	257.10	192.80	13.04
	491.06	194.34	530.95	194.14	39.90
	449.08	196.36	465.00	195.03	15.98
	474.99	195.29	481.95	195.43	6.96
	407.03	198.07	431.01	198.25	23.97
	449.00	202.34	483.00	202.15	34.00
